cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2015-7220,10.0,8.3152,1.6848,1.6848,True,CRITICAL
CVE-2014-4225,6.9,5.2204,1.6796,1.6796,True,MEDIUM
CVE-2024-20899,4.0,5.6795,-1.6795,1.6795,True,MEDIUM
CVE-2000-0283,6.4,4.7227,1.6773,1.6773,True,MEDIUM
CVE-2018-11352,4.0,5.6721,-1.6721,1.6721,True,MEDIUM
CVE-2015-1305,6.9,5.2296,1.6704,1.6704,True,MEDIUM
CVE-2025-25586,4.2,5.8697,-1.6697,1.6697,True,MEDIUM
CVE-2008-1393,10.0,8.3304,1.6696,1.6696,True,CRITICAL
CVE-2012-6034,4.4,6.0658,-1.6658,1.6658,True,MEDIUM
CVE-2002-1834,6.4,4.7442,1.6558,1.6558,True,MEDIUM
CVE-2010-3117,10.0,8.3519,1.6481,1.6481,True,CRITICAL
CVE-2015-5911,10.0,8.3573,1.6427,1.6427,True,CRITICAL
CVE-2024-27146,6.7,5.0618,1.6382,1.6382,True,MEDIUM
CVE-2015-8051,10.0,8.3628,1.6372,1.6372,True,CRITICAL
CVE-2024-11985,4.4,6.0356,-1.6356,1.6356,True,MEDIUM
CVE-2016-0451,10.0,8.3669,1.6331,1.6331,True,CRITICAL
CVE-2006-1836,6.8,5.1701,1.6299,1.6299,True,MEDIUM
CVE-2022-23523,4.0,5.6269,-1.6269,1.6269,True,MEDIUM
CVE-2003-1361,10.0,8.375,1.625,1.625,True,CRITICAL
CVE-2007-1631,10.0,8.3804,1.6196,1.6196,True,CRITICAL
CVE-2011-2100,6.9,5.281,1.619,1.619,True,MEDIUM
CVE-2014-2321,10.0,8.3839,1.6161,1.6161,True,CRITICAL
CVE-2014-2120,6.1,4.4849,1.6151,1.6151,True,MEDIUM
CVE-2017-8739,4.3,5.9135,-1.6135,1.6135,True,MEDIUM
CVE-2005-2613,6.4,4.7906,1.6094,1.6094,True,MEDIUM
CVE-2004-2630,7.5,9.1073,-1.6073,1.6073,True,HIGH
CVE-2004-2657,1.7,3.3032,-1.6032,1.6032,True,LOW
CVE-2016-0437,1.9,3.4988,-1.5988,1.5988,True,LOW
CVE-2012-2397,6.8,5.2023,1.5977,1.5977,True,MEDIUM
CVE-2011-3066,6.8,5.2056,1.5944,1.5944,True,MEDIUM
CVE-2023-30707,4.0,5.5928,-1.5928,1.5928,True,MEDIUM
CVE-2012-3512,7.2,8.7928,-1.5928,1.5928,True,HIGH
